datetime,spot,iv,straddle_cost,signal,in_position,entry_reason,exit_reason,pnl,pnl_pct,result,trade_number,cumulative_pnl
2025-02-18 12:55:00,22854.1,18.785800000000002,260.4,EXIT,False,,TIME_LIMIT (10 periods),-2.0,-0.7621951219512196,LOSS,1,-2.0
2025-02-18 14:00:00,22898.5,18.2734605,250.89999999999998,EXIT,False,,TIME_LIMIT (10 periods),-7.9500000000000455,-3.071276801236255,LOSS,2,-9.950000000000045
2025-02-18 14:55:00,22943.3,17.347495000000002,236.35,EXIT,False,,TIME_LIMIT (10 periods),-14.75,-5.8741537236160895,LOSS,3,-24.700000000000045
2025-02-19 09:15:00,22859.95,21.093923500000002,226.2,EXIT,False,,IV_EXPANSION (21.1% vs 17.4%),-11.300000000000011,-4.75789473684211,LOSS,4,-36.00000000000006
2025-02-19 12:20:00,22992.7,18.3509785,187.25,EXIT,False,,TIME_LIMIT (10 periods),0.09999999999999432,0.05343307507346744,WIN,5,-35.90000000000006
2025-02-19 14:35:00,22884.35,17.723502500000002,172.55,EXIT,False,,TIME_LIMIT (10 periods),-6.199999999999989,-3.468531468531462,LOSS,6,-42.10000000000005
2025-02-20 09:15:00,22857.1,30.5481405,148.15,EXIT,False,,IV_EXPANSION (30.5% vs 17.6%),-22.94999999999999,-13.413208649912326,LOSS,7,-65.05000000000004
2025-02-20 12:15:00,22892.9,15.7847955,55.2,EXIT,False,,STOP_LOSS (-18.8%),-12.799999999999997,-18.823529411764703,LOSS,8,-77.85000000000004
2025-02-20 12:55:00,22899.45,14.6275855,45.3,EXIT,False,,STOP_LOSS (-16.0%),-8.600000000000001,-15.955473098330245,LOSS,9,-86.45000000000005
2025-02-20 13:10:00,22878.25,13.221801,42.7,EXIT,False,,STOP_LOSS (-17.8%),-9.25,-17.8055822906641,LOSS,10,-95.70000000000005
2025-02-20 13:35:00,22891.9,12.329568,33.3,EXIT,False,,STOP_LOSS (-16.1%),-6.400000000000006,-16.12090680100757,LOSS,11,-102.10000000000005
2025-02-20 13:45:00,22910.7,16.313359000000002,42.3,EXIT,False,,PROFIT_TARGET (15.1%),5.549999999999997,15.102040816326523,WIN,12,-96.55000000000005
2025-02-20 13:55:00,22909.75,13.428074500000001,33.3,EXIT,False,,STOP_LOSS (-18.2%),-7.400000000000006,-18.181818181818194,LOSS,13,-103.95000000000006
2025-02-20 14:10:00,22899.5,10.2634185,22.55,EXIT,False,,STOP_LOSS (-23.7%),-7.0,-23.688663282571913,LOSS,14,-110.95000000000006
2025-02-20 14:30:00,22903.65,8.1165095,15.65,EXIT,False,,STOP_LOSS (-30.3%),-6.8000000000000025,-30.289532293986642,LOSS,15,-117.75000000000006
2025-02-20 14:45:00,22915.8,9.8956185,20.950000000000003,EXIT,False,,PROFIT_TARGET (25.1%),4.200000000000003,25.074626865671657,WIN,16,-113.55000000000005
2025-02-20 15:05:00,22914.45,6.528503,15.2,EXIT,False,,PROFIT_TARGET (20.2%),2.549999999999999,20.15810276679841,WIN,17,-111.00000000000006
2025-02-20 15:15:00,22919.3,4.763381,16.200000000000003,EXIT,False,,PROFIT_TARGET (6.2%),0.9500000000000028,6.22950819672133,WIN,18,-110.05000000000005
2025-02-20 15:25:00,22906.25,44.004990500000005,13.200000000000001,EXIT,False,,IV_EXPANSION (44.0% vs 6.2%),-1.6999999999999993,-11.409395973154357,LOSS,19,-111.75000000000006
2025-02-21 09:15:00,22906.6,13.4468425,323.55,EXIT,False,,PROFIT_TARGET (2369.8%),310.45,2369.8473282442746,WIN,20,198.69999999999993
2025-02-24 14:55:00,22572.15,13.211898999999999,218.85,EXIT,False,,PROFIT_TARGET (7.8%),15.799999999999983,7.781334646638751,WIN,21,214.49999999999991
2025-02-25 10:00:00,22594.55,10.467272,147.5,EXIT,False,,STOP_LOSS (-16.1%),-28.350000000000023,-16.1216946261018,LOSS,22,186.1499999999999
2025-02-25 10:55:00,22563.5,9.5873895,135.3,EXIT,False,,TIME_LIMIT (10 periods),-7.75,-5.41768612373296,LOSS,23,178.3999999999999
2025-02-25 11:50:00,22557.0,9.070758999999999,126.3,EXIT,False,,TIME_LIMIT (10 periods),-6.750000000000014,-5.073280721533269,LOSS,24,171.64999999999986
2025-02-25 12:25:00,22578.3,7.758247000000001,106.9,EXIT,False,,STOP_LOSS (-15.4%),-19.5,-15.427215189873417,LOSS,25,152.14999999999986
2025-02-25 13:00:00,22576.35,7.5665375,103.8,EXIT,False,,STOP_LOSS (-16.2%),-20.0,-16.15508885298869,LOSS,26,132.14999999999986
2025-02-25 13:55:00,22582.15,7.253109,98.35,EXIT,False,,TIME_LIMIT (10 periods),-4.8500000000000085,-4.699612403100783,LOSS,27,127.29999999999986
2025-02-25 14:15:00,22577.35,7.7769260000000004,105.3,EXIT,False,,PROFIT_TARGET (6.3%),6.200000000000003,6.256306760847632,WIN,28,133.49999999999986
2025-02-27 11:55:00,22525.0,14.569058,56.699999999999996,EXIT,False,,PROFIT_TARGET (81.2%),25.399999999999995,81.15015974440892,WIN,29,158.89999999999986
