entry_time,exit_time,entry_cost,exit_cost,raw_pnl,costs,net_pnl,net_pnl_pct,result,exit_reason,hold_days
2024-08-28 09:15:00,2024-08-29 09:15:00,151.85,109.35,-42.5,47.39,-89.89,-59.2,LOSS,STOP_LOSS,1.0
2024-08-29 10:15:00,2024-08-29 11:45:00,92.15,67.65,-24.5,47.32,-71.82,-77.94,LOSS,STOP_LOSS,0.2
2024-08-29 12:45:00,2024-08-29 14:00:00,79.5,130.4,50.9,47.38,3.52,4.43,WIN,PROFIT_TARGET,0.2
2024-09-02 09:15:00,2024-09-09 09:15:00,644.9,649.15,4.25,48.21,-43.96,-6.82,LOSS,TIME_LIMIT,5.0
2024-09-11 14:00:00,2024-09-17 10:05:00,513.55,383.95,-129.6,47.87,-177.47,-34.56,LOSS,STOP_LOSS,3.4
2024-09-17 14:55:00,2024-09-19 15:20:00,381.55,320.9,-60.65,47.73,-108.38,-28.41,LOSS,TIME_LIMIT,5.0
2024-09-20 09:20:00,2024-09-23 15:25:00,316.25,234.9,-81.35,47.61,-128.96,-40.78,LOSS,STOP_LOSS,2.0
2024-09-25 09:15:00,2024-09-25 15:05:00,181.85,135.2,-46.65,47.44,-94.09,-51.74,LOSS,STOP_LOSS,0.9
2024-09-26 09:50:00,2024-09-26 14:05:00,109.1,143.7,34.6,47.41,-12.81,-11.74,LOSS,PROFIT_TARGET,0.7
2024-09-26 15:25:00,2024-09-27 09:15:00,16.2,723.3,707.1,47.95,659.15,4068.81,WIN,PROFIT_TARGET,0.0
2024-09-30 09:35:00,2024-10-08 09:30:00,724.05,750.5,26.45,48.36,-21.91,-3.03,LOSS,TIME_LIMIT,5.0
2024-10-14 09:45:00,2024-10-16 11:10:00,533.55,486.8,-46.75,47.98,-94.73,-17.76,LOSS,TIME_LIMIT,5.0
2024-10-16 12:10:00,2024-10-23 12:05:00,491.6,391.7,-99.9,47.86,-147.76,-30.06,LOSS,TIME_LIMIT,5.0
2024-10-24 09:15:00,2024-10-28 09:15:00,379.0,275.0,-104.0,47.68,-151.68,-40.02,LOSS,STOP_LOSS,2.0
2024-10-28 10:15:00,2024-10-29 14:35:00,253.75,187.95,-65.8,47.53,-113.33,-44.66,LOSS,STOP_LOSS,1.7
