entry_time,exit_time,entry_cost,exit_cost,net_pnl,result,exit_reason
2024-08-28 09:15:00,2024-08-28 11:00:00,151.85,128.5,-73.35,LOSS,STOP
2024-08-28 11:30:00,2024-08-28 14:25:00,140.65,118.75,-71.9,LOSS,STOP
2024-08-29 09:15:00,2024-08-29 10:15:00,109.35,92.15,-67.2,LOSS,STOP
2024-08-29 10:45:00,2024-08-29 11:45:00,79.65,67.65,-62.0,LOSS,STOP
2024-08-29 12:15:00,2024-08-29 12:25:00,63.35,76.15,-37.2,LOSS,PROFIT
2024-08-29 12:55:00,2024-08-29 14:00:00,76.15,130.4,4.25,WIN,PROFIT
2024-08-29 14:30:00,2024-08-29 14:40:00,86.7,67.0,-69.7,LOSS,STOP
2024-09-02 09:15:00,2024-09-05 09:15:00,644.9,613.05,-81.85,LOSS,TIME
2024-09-05 10:30:00,2024-09-10 10:30:00,628.45,549.9,-128.55,LOSS,TIME
2024-09-11 14:00:00,2024-09-13 12:10:00,513.55,433.05,-130.5,LOSS,STOP
2024-09-16 09:15:00,2024-09-19 09:15:00,415.25,331.45,-133.8,LOSS,STOP
2024-09-19 11:20:00,2024-09-20 11:00:00,332.85,290.85,-92.0,LOSS,TIME
2024-09-20 12:00:00,2024-09-20 15:20:00,313.5,266.35,-97.15,LOSS,STOP
2024-09-23 09:30:00,2024-09-23 15:10:00,284.65,241.75,-92.9,LOSS,STOP
2024-09-24 09:20:00,2024-09-24 14:50:00,233.95,197.45,-86.5,LOSS,STOP
2024-09-25 09:15:00,2024-09-25 12:55:00,181.85,154.35,-77.5,LOSS,STOP
2024-09-26 09:15:00,2024-09-26 09:50:00,130.05,109.1,-70.95,LOSS,STOP
2024-09-26 10:20:00,2024-09-26 11:45:00,125.0,99.5,-75.5,LOSS,STOP
2024-09-26 12:15:00,2024-09-26 13:35:00,103.2,128.65,-24.55,LOSS,PROFIT
2024-09-26 14:05:00,2024-09-26 14:10:00,143.7,116.1,-77.6,LOSS,STOP
2024-09-26 14:40:00,2024-09-26 14:45:00,101.9,81.45,-70.45,LOSS,STOP
2024-09-26 15:25:00,2024-09-27 09:15:00,16.2,723.3,657.1,WIN,PROFIT
2024-09-27 15:20:00,2024-10-03 15:20:00,731.85,713.4,-68.45,LOSS,TIME
2024-10-04 09:30:00,2024-10-09 09:25:00,722.9,668.65,-104.25,LOSS,TIME
2024-10-14 09:20:00,2024-10-14 14:00:00,533.15,500.15,-83.0,LOSS,TIME
2024-10-15 09:45:00,2024-10-18 09:40:00,502.3,464.85,-87.45,LOSS,TIME
2024-10-18 10:10:00,2024-10-22 09:40:00,460.2,389.3,-120.9,LOSS,STOP
2024-10-22 10:15:00,2024-10-24 09:55:00,407.05,344.55,-112.5,LOSS,STOP
2024-10-25 09:35:00,2024-10-28 09:15:00,325.35,275.0,-100.35,LOSS,STOP
2024-10-28 09:45:00,2024-10-28 10:45:00,292.0,246.4,-95.6,LOSS,STOP
2024-10-28 11:15:00,2024-10-29 14:05:00,245.75,204.95,-90.8,LOSS,STOP
2024-10-30 09:15:00,2024-10-30 12:10:00,199.35,166.5,-82.85,LOSS,STOP
2024-10-30 13:20:00,2024-10-31 09:15:00,169.5,136.5,-83.0,LOSS,STOP
2024-10-31 09:45:00,2024-10-31 09:55:00,83.7,70.95,-62.75,LOSS,STOP
2024-10-31 13:40:00,2024-10-31 13:55:00,51.5,30.95,-70.55,LOSS,STOP
2024-11-01 18:00:00,2024-11-06 09:15:00,809.35,687.6,-171.75,LOSS,STOP
2024-11-07 10:00:00,2024-11-08 12:30:00,658.8,587.1,-121.7,LOSS,TIME
2024-11-08 14:05:00,2024-11-13 09:50:00,583.7,528.5,-105.2,LOSS,TIME
2024-11-13 10:20:00,2024-11-14 15:05:00,538.15,456.1,-132.05,LOSS,STOP
2024-11-18 09:20:00,2024-11-19 09:15:00,468.15,397.4,-120.75,LOSS,STOP
2024-11-19 15:00:00,2024-11-25 09:20:00,406.9,341.8,-115.1,LOSS,STOP
2024-11-25 09:50:00,2024-11-26 09:15:00,324.1,260.65,-113.45,LOSS,STOP
2024-11-26 09:45:00,2024-11-26 14:55:00,263.8,218.55,-95.25,LOSS,STOP
2024-11-27 09:15:00,2024-11-27 10:40:00,196.7,166.85,-79.85,LOSS,STOP
2024-11-27 12:20:00,2024-11-27 15:20:00,175.85,145.35,-80.5,LOSS,STOP
2024-11-28 09:35:00,2024-11-28 10:10:00,154.45,118.95,-85.5,LOSS,STOP
2024-11-28 10:40:00,2024-11-28 10:45:00,163.3,207.75,-5.55,LOSS,PROFIT
2024-11-28 11:15:00,2024-11-28 12:25:00,169.5,134.75,-84.75,LOSS,STOP
2024-11-28 12:55:00,2024-11-28 13:15:00,139.5,117.2,-72.3,LOSS,STOP
2024-11-28 13:45:00,2024-11-28 13:55:00,116.1,147.1,-19.0,LOSS,PROFIT
2024-11-28 14:25:00,2024-11-28 14:30:00,116.5,82.5,-84.0,LOSS,STOP
2024-12-02 09:15:00,2024-12-03 12:20:00,710.85,667.15,-93.7,LOSS,TIME
2024-12-03 13:00:00,2024-12-05 11:45:00,671.3,727.6,6.3,WIN,TIME
2024-12-05 12:20:00,2024-12-09 12:30:00,701.95,593.55,-158.4,LOSS,STOP
2024-12-09 14:00:00,2024-12-11 14:30:00,605.25,513.75,-141.5,LOSS,STOP
2024-12-12 12:10:00,2024-12-17 12:10:00,510.15,504.4,-55.75,LOSS,TIME
2024-12-17 12:40:00,2024-12-18 14:55:00,495.0,420.55,-124.45,LOSS,STOP
2024-12-19 09:15:00,2024-12-20 11:40:00,433.0,360.55,-122.45,LOSS,STOP
2024-12-20 12:45:00,2024-12-23 09:15:00,380.65,290.35,-140.3,LOSS,STOP
2024-12-26 09:15:00,2024-12-26 09:20:00,125.3,106.15,-69.15,LOSS,STOP
2024-12-26 09:50:00,2024-12-26 10:05:00,81.2,102.75,-28.45,LOSS,PROFIT
2024-12-26 10:35:00,2024-12-26 11:00:00,79.25,65.0,-64.25,LOSS,STOP
2024-12-26 11:30:00,2024-12-26 11:50:00,61.2,50.15,-61.05,LOSS,STOP
2024-12-26 13:30:00,2024-12-26 13:35:00,87.7,74.25,-63.45,LOSS,STOP
2024-12-30 09:15:00,2025-01-02 09:15:00,755.65,775.25,-30.4,LOSS,TIME
2025-01-06 09:15:00,2025-01-09 09:15:00,696.2,647.15,-99.05,LOSS,TIME
2025-01-09 11:40:00,2025-01-14 11:40:00,651.55,575.5,-126.05,LOSS,TIME
2025-01-16 12:50:00,2025-01-21 12:45:00,514.55,510.2,-54.35,LOSS,TIME
2025-01-21 13:15:00,2025-01-22 13:20:00,489.8,440.65,-99.15,LOSS,TIME
2025-01-23 10:55:00,2025-01-24 15:05:00,391.5,331.95,-109.55,LOSS,STOP
2025-01-27 09:20:00,2025-01-28 09:15:00,341.5,288.25,-103.25,LOSS,STOP
2025-01-28 09:45:00,2025-01-28 13:55:00,320.8,272.2,-98.6,LOSS,STOP
2025-01-29 09:15:00,2025-01-29 10:05:00,260.4,313.45,3.05,WIN,PROFIT
2025-01-29 10:35:00,2025-01-30 09:15:00,310.45,263.1,-97.35,LOSS,STOP
2025-01-30 09:45:00,2025-01-30 10:25:00,220.15,169.0,-101.15,LOSS,STOP
2025-01-30 11:00:00,2025-01-30 12:10:00,161.95,201.55,-10.4,LOSS,PROFIT
2025-01-30 12:40:00,2025-01-30 12:45:00,163.9,130.65,-83.25,LOSS,STOP
2025-01-30 13:55:00,2025-01-30 14:05:00,109.5,133.3,-26.2,LOSS,PROFIT
2025-01-30 15:20:00,2025-01-31 09:15:00,52.8,921.7,818.9,WIN,PROFIT
2025-02-04 09:35:00,2025-02-07 09:35:00,672.9,604.05,-118.85,LOSS,TIME
2025-02-10 09:15:00,2025-02-13 09:15:00,573.35,523.4,-99.95,LOSS,TIME
2025-02-14 09:25:00,2025-02-19 09:20:00,498.5,418.45,-130.05,LOSS,STOP
2025-02-21 09:45:00,2025-02-24 09:15:00,325.2,271.45,-103.75,LOSS,STOP
2025-02-24 09:45:00,2025-02-24 14:45:00,249.5,203.05,-96.45,LOSS,STOP
2025-02-27 09:15:00,2025-02-27 09:45:00,65.1,50.05,-65.05,LOSS,STOP
